Chicken Dance,Overhang Area > North Table Mountain/Golden Cliffs > Golden > Colorado,https://www.mountainproject.com/route/105755527/chicken-dance,5.12a,39.76834,-105.21695,Overhang Area,North Table Mountain/Golden Cliffs
Family Jewels,The Dugout > Rifle Mountain Park > Rifle > Colorado,https://www.mountainproject.com/route/109514790/family-jewels,5.12a,39.70833,-107.69273,The Dugout,Rifle Mountain Park
Handle This Hard On!,Overhang Area > North Table Mountain/Golden Cliffs > Golden > Colorado,https://www.mountainproject.com/route/105752173/handle-this-hard-on,5.12a,39.76834,-105.21695,Overhang Area,North Table Mountain/Golden Cliffs
Light My Fire,The Dungeon > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/114441945/light-my-fire,5.12a,39.5168,-105.3962,The Dungeon,Staunton Rocks
Ricochet,The Winchester Cave > Rifle Mountain Park > Rifle > Colorado,https://www.mountainproject.com/route/105753373/ricochet,5.12a,39.71774,-107.69191,The Winchester Cave,Rifle Mountain Park
Mr. Squirrel Places a Nut,Overhang Area > North Table Mountain/Golden Cliffs > Golden > Colorado,https://www.mountainproject.com/route/105748594/mr-squirrel-places-a-nut,5.11c,39.76834,-105.21695,Overhang Area,North Table Mountain/Golden Cliffs
Winter's End,The Sno-Cone Cave > Rifle Mountain Park > Rifle > Colorado,https://www.mountainproject.com/route/108159481/winters-end,5.11b,39.70651,-107.69446,The Sno-Cone Cave,Rifle Mountain Park
Unshackled,The Dungeon > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/112101317/unshackled,5.10+,39.5168,-105.3962,The Dungeon,Staunton Rocks
Wild Child,The Mission Wall > Clear Creek Canyon > Golden > Colorado,https://www.mountainproject.com/route/105758059/wild-child,5.11a,39.7392,-105.323,The Mission Wall,Clear Creek Canyon
Reefer Madness,Wall of the '90s > Clear Creek Canyon > Golden > Colorado,https://www.mountainproject.com/route/105748397/reefer-madness,5.11a,39.7388,-105.3222,Wall of the '90s,Clear Creek Canyon
Ten-Digit Dialing,Wall of the '90s > Clear Creek Canyon > Golden > Colorado,https://www.mountainproject.com/route/105748421/ten-digit-dialing,5.12c,39.7388,-105.3222,Wall of the '90s,Clear Creek Canyon
Redmond Barry,Kubrick's > Rifle Mountain Park > Rifle > Colorado,https://www.mountainproject.com/route/108256301/redmond-barry,5.10b,39.71606,-107.69077,Kubrick's,Rifle Mountain Park
Gunnery Sergeant Hartman,Kubrick's > Rifle Mountain Park > Rifle > Colorado,https://www.mountainproject.com/route/107235954/gunnery-sergeant-hartman,5.11a,39.71606,-107.69077,Kubrick's,Rifle Mountain Park
Baby Jesus,Project Wall > Rifle Mountain Park > Rifle > Colorado,https://www.mountainproject.com/route/119334640/baby-jesus,5.12b,39.71873,-107.69094,Project Wall,Rifle Mountain Park
Dihedral Crack aka Red Dihedral,6. Endless Wall > Monitor Rock > Independence Pass > Colorado,https://www.mountainproject.com/route/106176531/dihedral-crack-aka-red-dihedral,5.9-,39.0726,-106.4513,Endless Wall,Monitor Rock
Corona Alley,Mill Creek Crag > Dumont vicinity > Colorado,https://www.mountainproject.com/route/118846825/corona-alley,5.9,39.7838,-105.6242,Mill Creek Crag,Dumont vicinity
Fractals,Mill Creek Dome > Dumont vicinity > Colorado,https://www.mountainproject.com/route/108320082/fractals,5.9,39.7846,-105.622,Mill Creek Dome,Dumont vicinity
Going Greek,1. Butt Wall > Monitor Rock > Independence Pass > Colorado,https://www.mountainproject.com/route/107230326/going-greek,5.9,39.0726,-106.4513,Butt Wall,Monitor Rock
Herbal Essence,Little Eiger > Clear Creek Canyon > Golden > Colorado,https://www.mountainproject.com/route/105867446/herbal-essence,5.9,39.7432,-105.2991,Little Eiger,Clear Creek Canyon
Home Wrecker,East Face aka Clairabell Mine Wall > Monitor Rock > Independence Pass > Colorado,https://www.mountainproject.com/route/107233036/home-wrecker,5.9,39.0726,-106.4513,East Face aka Clairabell Mine Wall,Monitor Rock
Honey Pot,Mill Creek Crag > Dumont vicinity > Colorado,https://www.mountainproject.com/route/107182008/honey-pot,5.9,39.7838,-105.6242,Mill Creek Crag,Dumont vicinity
Left Cheek,1. Butt Wall > Monitor Rock > Independence Pass > Colorado,https://www.mountainproject.com/route/106198096/left-cheek,5.9,39.0726,-106.4513,Butt Wall,Monitor Rock
Baby Doe,5. Iron Side Wall > Monitor Rock > Independence Pass > Colorado,https://www.mountainproject.com/route/105755875/baby-doe,5.8,39.0726,-106.4513,Iron Side Wall,Monitor Rock
Freeway,Mill Creek Crag > Dumont vicinity > Colorado,https://www.mountainproject.com/route/107262225/freeway,5.8,39.7838,-105.6242,Mill Creek Crag,Dumont vicinity
El Gato Monte,Mill Creek Block > Dumont vicinity > Colorado,https://www.mountainproject.com/route/110674676/el-gato-monte,5.12a,39.7843,-105.6251,Mill Creek Block,Dumont vicinity
Empire of the Fenceless,Easter Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105756790/empire-of-the-fenceless,5.12a,39.9937,-105.41847,Easter Rock,Boulder Canyon
Glory Hole,5. Iron Side Wall > Monitor Rock > Independence Pass > Colorado,https://www.mountainproject.com/route/105757066/glory-hole,5.12a,39.0726,-106.4513,Iron Side Wall,Monitor Rock
Livin' On The Edge,4. Boulder Wall > Monitor Rock > Independence Pass > Colorado,https://www.mountainproject.com/route/105754564/livin-on-the-edge,5.12a,39.0726,-106.4513,Boulder Wall,Monitor Rock
Matchless,3. Trailhead Wall > Monitor Rock > Independence Pass > Colorado,https://www.mountainproject.com/route/114804208/matchless,5.12a,39.0726,-106.4513,Trailhead Wall,Monitor Rock
Mufasa,Mill Creek Block > Dumont vicinity > Colorado,https://www.mountainproject.com/route/111804869/mufasa,5.12a,39.7843,-105.6251,Mill Creek Block,Dumont vicinity
Perpetual Doubt,3. Trailhead Wall > Monitor Rock > Independence Pass > Colorado,https://www.mountainproject.com/route/114511264/perpetual-doubt,5.12a,39.0726,-106.4513,Trailhead Wall,Monitor Rock
Thunderdome,Easter Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105750787/thunderdome,5.12a,39.9937,-105.41847,Easter Rock,Boulder Canyon
Tierra Del Fuego (extension),Little Eiger > Clear Creek Canyon > Golden > Colorado,https://www.mountainproject.com/route/113073894/tierra-del-fuego-extension,5.12a,39.7432,-105.2991,Little Eiger,Clear Creek Canyon
Eye of the Tiger,Mill Creek Crag > Dumont vicinity > Colorado,https://www.mountainproject.com/route/109082184/eye-of-the-tiger,5.12a/b,39.7838,-105.6242,Mill Creek Crag,Dumont vicinity
Utterly Thin,5b. Summit Dome > Monitor Rock > Independence Pass > Colorado,https://www.mountainproject.com/route/107792020/utterly-thin,5.12a/b,39.0726,-106.4513,Summit Dome,Monitor Rock
White Men Can't Jump,Easter Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105752077/white-men-cant-jump,5.12a/b,39.9937,-105.41847,Easter Rock,Boulder Canyon
Barbarians,Easter Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105749692/barbarians,5.12b,39.9937,-105.41847,Easter Rock,Boulder Canyon
Delusions of Grandeur,Little Eiger > Clear Creek Canyon > Golden > Colorado,https://www.mountainproject.com/route/106064047/delusions-of-grandeur,5.12b,39.7432,-105.2991,Little Eiger,Clear Creek Canyon
Rain Shadow,Easter Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105998457/rain-shadow,5.12b,39.9937,-105.41847,Easter Rock,Boulder Canyon
Sad Batman,Easter Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/116993631/sad-batman,5.12b,39.9937,-105.41847,Easter Rock,Boulder Canyon
Scantily Trad,Mill Creek Crag > Dumont vicinity > Colorado,https://www.mountainproject.com/route/108203531/scantily-trad,5.12b,39.7838,-105.6242,Mill Creek Crag,Dumont vicinity
Tell-Tale Heart,Easter Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105748424/tell-tale-heart,5.12b,39.9937,-105.41847,Easter Rock,Boulder Canyon
The Strike,Mill Creek Block > Dumont vicinity > Colorado,https://www.mountainproject.com/route/107720505/the-strike,5.12b,39.7843,-105.6251,Mill Creek Block,Dumont vicinity
Too!,Little Eiger > Clear Creek Canyon > Golden > Colorado,https://www.mountainproject.com/route/105748253/too,5.12b,39.7432,-105.2991,Little Eiger,Clear Creek Canyon
