2019-03-09,194,5.12a,beta,,,,"Difficult, bouldery start. Extrememly fun climbing after first 3 bolts. Will return to lead",,1
2019-03-09,326,5.10d,1 fall,,,,Very fun climb - excellent holds and fun layback for half of route. Will send soon,,1
2019-03-09,315,5.10a,1 fall,,,,Pumpy start. Could send for sure,,1
2019-03-09,204,5.12a,beta,,,,Massive roof. Such a fun route. Tuck and I will be back to try this one more,,1
2019-03-17,342,5.7,flash,,,,Warmup - fun route. Have done this one before,,1
2019-03-17,360,5.11a/b,2 falls,,,,"Steep overhang, but amazing holds. Need to climb past 4th clip and clip from above - could have sent with this beta. Will be back to try again",,1
2019-04-14,324,5.10a,flash,,,,"Warmup. Tricky route, some of it was great climbing, but a few moves felt awkward and forced. Still love this area of sport park so much",,1
2019-04-14,355,5.11a,2 falls,,,,First attempt to figure out beta and feel out the route,,1
2019-04-14,355,5.11a,redpoint,,,,Second attempt felt really good and I sent the route!,,1
2019-05-03,242,5.10c,1 fall,,,,"Tough warmup, but super fun route. Climb on the left wedge after an easy start. Can send next time in Moab",,1
2019-05-03,243,5.10a,1 fall,,,,"Such an amazing route. Pretty tough, but typical for Moab. Definitely need a stick clip. The climbing is sustained and so much fun all the way up",,1
2019-05-04,232,5.11a,beta,,,,This climb was awesome. I cant wait to come back and do battle with this one,,1
2019-05-04,229,5.12c,beta,,,,Followed Matt after he led and bailed around the 5th bolt. The start is incredible and then you get to the arete which is definitely where the 5.12c comes in. This could be a lofty goal for the recurring trips to Moab,,1
2019-05-05,241,5.9,flash,,,,Nice warmup. Very slabby with a difficult start,,1
2019-05-05,233,5.11b,beta,TRUE,,,"MOAB PROJECT. This route is so much freaking fun. Hard and sustained moves with a difficult start, but there are some good rests. I was proud to get to the top of this on lead, but I had to cheat on the start and at the last big move to the small crimps. Will return",,1
2019-05-11,284,5.11b,beta,,,,Tough roof to start with - couldn't get it this time (tired from Bouldering the previous day when Zoe got me a training session for my bday :D). The climbing get pretty fun after the roof with a little more difficulty as you get close to the anchors,,1
2019-05-11,177,5.12a,beta,TRUE,,,This route is really awesome. I would love to come back and give it more attempts,,1
2019-05-11,349,5.11a,2 falls,,,,"AMAZING CLIMB. The whole route is fun with really great holds and sustained shoulder and back pressure. I cant wait to come back and send this. The move to the anchor stumped me for a bit, but it is easily pulled by using a left foot heel hook and reaching up to the pinch with your left hand",,1
